"question_no","question_label","target_column","source_column","match_type","confidence","status","note"
"Q5","커뮤니케이션 행태","커뮤니케이션 행태","33:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 1순위 | 34:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 2순위 | 35:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 3순위 | 36:자유롭게 아이디어를나누는 브레인스토밍 회의 - 1순위 | 37:자유롭게 아이디어를나누는 브레인스토밍 회의 - 2순위 | 38:자유롭게 아이디어를나누는 브레인스토밍 회의 - 3순위 | 39:비정기적으로 의견을교류하는 캐주얼 회의 - 1순위 | 40:비정기적으로 의견을교류하는 캐주얼 회의 - 2순위 | 41:비정기적으로 의견을교류하는 캐주얼 회의 - 3순위 | 42:지식 공유 목적의교육 및 세미나 - 1순위 | 43:지식 공유 목적의교육 및 세미나 - 2순위 | 44:지식 공유 목적의교육 및 세미나 - 3순위 | 45:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 1순위 | 46:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 2순위 | 47:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 3순위 | 48:기타(구체적으로 명시)","rank_matrix_rebuild","high","mapped","2-1 순위형 매트릭스(기타 텍스트 별도 컬럼) vendor export의 순위형 one-hot 매트릭스를 rank order raw 값으로 재구성했습니다."
"Q5_R1","커뮤니케이션 행태_1순위","커뮤니케이션 행태_1순위","33:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 1순위 | 34:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 2순위 | 35:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 3순위 | 36:자유롭게 아이디어를나누는 브레인스토밍 회의 - 1순위 | 37:자유롭게 아이디어를나누는 브레인스토밍 회의 - 2순위 | 38:자유롭게 아이디어를나누는 브레인스토밍 회의 - 3순위 | 39:비정기적으로 의견을교류하는 캐주얼 회의 - 1순위 | 40:비정기적으로 의견을교류하는 캐주얼 회의 - 2순위 | 41:비정기적으로 의견을교류하는 캐주얼 회의 - 3순위 | 42:지식 공유 목적의교육 및 세미나 - 1순위 | 43:지식 공유 목적의교육 및 세미나 - 2순위 | 44:지식 공유 목적의교육 및 세미나 - 3순위 | 45:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 1순위 | 46:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 2순위 | 47:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 3순위 | 48:기타(구체적으로 명시)","rank_split","high","mapped","2-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q5_R2","커뮤니케이션 행태_2순위","커뮤니케이션 행태_2순위","33:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 1순위 | 34:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 2순위 | 35:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 3순위 | 36:자유롭게 아이디어를나누는 브레인스토밍 회의 - 1순위 | 37:자유롭게 아이디어를나누는 브레인스토밍 회의 - 2순위 | 38:자유롭게 아이디어를나누는 브레인스토밍 회의 - 3순위 | 39:비정기적으로 의견을교류하는 캐주얼 회의 - 1순위 | 40:비정기적으로 의견을교류하는 캐주얼 회의 - 2순위 | 41:비정기적으로 의견을교류하는 캐주얼 회의 - 3순위 | 42:지식 공유 목적의교육 및 세미나 - 1순위 | 43:지식 공유 목적의교육 및 세미나 - 2순위 | 44:지식 공유 목적의교육 및 세미나 - 3순위 | 45:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 1순위 | 46:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 2순위 | 47:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 3순위 | 48:기타(구체적으로 명시)","rank_split","high","mapped","2-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q5_R3","커뮤니케이션 행태_3순위","커뮤니케이션 행태_3순위","33:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 1순위 | 34:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 2순위 | 35:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 3순위 | 36:자유롭게 아이디어를나누는 브레인스토밍 회의 - 1순위 | 37:자유롭게 아이디어를나누는 브레인스토밍 회의 - 2순위 | 38:자유롭게 아이디어를나누는 브레인스토밍 회의 - 3순위 | 39:비정기적으로 의견을교류하는 캐주얼 회의 - 1순위 | 40:비정기적으로 의견을교류하는 캐주얼 회의 - 2순위 | 41:비정기적으로 의견을교류하는 캐주얼 회의 - 3순위 | 42:지식 공유 목적의교육 및 세미나 - 1순위 | 43:지식 공유 목적의교육 및 세미나 - 2순위 | 44:지식 공유 목적의교육 및 세미나 - 3순위 | 45:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 1순위 | 46:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 2순위 | 47:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 3순위 | 48:기타(구체적으로 명시)","rank_split","high","mapped","2-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q5_TEXT","커뮤니케이션 행태__기타_텍스트","커뮤니케이션 행태__기타_텍스트","33:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 1순위 | 34:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 2순위 | 35:팀원 또는 유관부서와의정보 공유, 의사결정 등을 위한 정형회의 - 3순위 | 36:자유롭게 아이디어를나누는 브레인스토밍 회의 - 1순위 | 37:자유롭게 아이디어를나누는 브레인스토밍 회의 - 2순위 | 38:자유롭게 아이디어를나누는 브레인스토밍 회의 - 3순위 | 39:비정기적으로 의견을교류하는 캐주얼 회의 - 1순위 | 40:비정기적으로 의견을교류하는 캐주얼 회의 - 2순위 | 41:비정기적으로 의견을교류하는 캐주얼 회의 - 3순위 | 42:지식 공유 목적의교육 및 세미나 - 1순위 | 43:지식 공유 목적의교육 및 세미나 - 2순위 | 44:지식 공유 목적의교육 및 세미나 - 3순위 | 45:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 1순위 | 46:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 2순위 | 47:외부 인원(계열사, 협력사 등)과의업무 협의 회의 - 3순위 | 48:기타(구체적으로 명시)","direct_text_passthrough","high","mapped","2-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 기타 텍스트는 코드 변환 없이 원문 텍스트를 그대로 적재합니다."
"Q6","회의 횟수","회의 횟수","49:대면회의 - 1주일간회의 횟수 - 해당사항 없음 | 50:대면회의 - 1주일간회의 횟수 - 1-2회 | 51:대면회의 - 1주일간회의 횟수 - 3-4회 | 52:대면회의 - 1주일간회의 횟수 - 5-6회 | 53:대면회의 - 1주일간회의 횟수 - 7-8회 | 54:대면회의 - 1주일간회의 횟수 - 9회 이상","single_sparse_pick","high","mapped","2-2 회의 횟수 단일선택 행렬 선택된 옵션 열을 기준으로 코드/라벨을 복원했습니다."
"Q7","회의 시간","회의 시간","55:대면회의 - 1회소요 시간 - 해당사항 없음 | 56:대면회의 - 1회소요 시간 - 30분 미만 | 57:대면회의 - 1회소요 시간 - 30분~1시간 | 58:대면회의 - 1회소요 시간 - 1시간~1시간 30분 | 59:대면회의 - 1회소요 시간 - 1시간 30분~2시간 | 60:대면회의 - 1회소요 시간 - 2시간 이상","single_sparse_pick","high","mapped","2-2 회의 시간 단일선택 행렬 선택된 옵션 열을 기준으로 코드/라벨을 복원했습니다."
"Q8","회의 규모","회의 규모","61:4인 이하 - 1순위 | 62:4인 이하 - 2순위 | 63:4인 이하 - 3순위 | 64:5-8인 - 1순위 | 65:5-8인 - 2순위 | 66:5-8인 - 3순위 | 67:9-16인 - 1순위 | 68:9-16인 - 2순위 | 69:9-16인 - 3순위 | 70:17인 이상 - 1순위 | 71:17인 이상 - 2순위 | 72:17인 이상 - 3순위","rank_matrix_rebuild","high","mapped","2-3 회의 규모 순위형 매트릭스 vendor export의 순위형 one-hot 매트릭스를 rank order raw 값으로 재구성했습니다."
"Q8_R1","회의 규모_1순위","회의 규모_1순위","61:4인 이하 - 1순위 | 62:4인 이하 - 2순위 | 63:4인 이하 - 3순위 | 64:5-8인 - 1순위 | 65:5-8인 - 2순위 | 66:5-8인 - 3순위 | 67:9-16인 - 1순위 | 68:9-16인 - 2순위 | 69:9-16인 - 3순위 | 70:17인 이상 - 1순위 | 71:17인 이상 - 2순위 | 72:17인 이상 - 3순위","rank_split","high","mapped","2-3 회의 규모 순위형 매트릭스 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q8_R2","회의 규모_2순위","회의 규모_2순위","61:4인 이하 - 1순위 | 62:4인 이하 - 2순위 | 63:4인 이하 - 3순위 | 64:5-8인 - 1순위 | 65:5-8인 - 2순위 | 66:5-8인 - 3순위 | 67:9-16인 - 1순위 | 68:9-16인 - 2순위 | 69:9-16인 - 3순위 | 70:17인 이상 - 1순위 | 71:17인 이상 - 2순위 | 72:17인 이상 - 3순위","rank_split","high","mapped","2-3 회의 규모 순위형 매트릭스 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q8_R3","회의 규모_3순위","회의 규모_3순위","61:4인 이하 - 1순위 | 62:4인 이하 - 2순위 | 63:4인 이하 - 3순위 | 64:5-8인 - 1순위 | 65:5-8인 - 2순위 | 66:5-8인 - 3순위 | 67:9-16인 - 1순위 | 68:9-16인 - 2순위 | 69:9-16인 - 3순위 | 70:17인 이상 - 1순위 | 71:17인 이상 - 2순위 | 72:17인 이상 - 3순위","rank_split","high","mapped","2-3 회의 규모 순위형 매트릭스 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q9","업무 외 활동 니즈","업무 외 활동 니즈","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_matrix_rebuild","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) vendor export의 순위형 one-hot 매트릭스를 rank order raw 값으로 재구성했습니다."
"Q9_R1","업무 외 활동 니즈_1순위","업무 외 활동 니즈_1순위","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_split","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q9_R2","업무 외 활동 니즈_2순위","업무 외 활동 니즈_2순위","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_split","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q9_R3","업무 외 활동 니즈_3순위","업무 외 활동 니즈_3순위","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_split","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
