question_no,question_label,data_column_role,vendor_variable,vendor_label
Q13_M2,올해 이용해 본 근무 장소__오피스,expanded,BQ5[M2],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M3,올해 이용해 본 근무 장소__집,expanded,BQ5[M3],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M4,올해 이용해 본 근무 장소__카페,expanded,BQ5[M4],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M5,올해 이용해 본 근무 장소__공유오피스 (개인 지불),expanded,BQ5[M5],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M6,올해 이용해 본 근무 장소__공유오피스 (회사 지불),expanded,BQ5[M6],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M7,올해 이용해 본 근무 장소__거점오피스,expanded,BQ5[M7],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M8,올해 이용해 본 근무 장소__휴양지의 숙소 또는 업무 시설 (워케이션),expanded,BQ5[M8],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M9,올해 이용해 본 근무 장소__가상/메타버스 오피스 (온라인 공간),expanded,BQ5[M9],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M10,올해 이용해 본 근무 장소__기타 (직접 입력),expanded,BQ5[M10],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q13_M10_TEXT,올해 이용해 본 근무 장소__기타_텍스트,expanded,BQ5[M10],다음 중 올해(2023년) 귀하께서 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.
Q14,올해 자주 이용한 업무 장소 순위,raw,BQ6,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.
Q14_R1,올해 자주 이용한 업무 장소 순위__1순위,expanded,BQ6[R1],다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.
Q14_R2,올해 자주 이용한 업무 장소 순위__2순위,expanded,BQ6[R2],다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.
Q14_R3,올해 자주 이용한 업무 장소 순위__3순위,expanded,BQ6[R3],다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.
Q14_TEXT,올해 자주 이용한 업무 장소 순위__기타_텍스트,expanded,BQ6[TEXT],다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.
Q15,집중 업무 시 선호하는 업무 장소,raw,Q7,집중해서 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q15_R1,집중 업무 시 선호하는 업무 장소__1순위,expanded,Q7[R1],집중해서 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q15_R2,집중 업무 시 선호하는 업무 장소__2순위,expanded,Q7[R2],집중해서 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q15_R3,집중 업무 시 선호하는 업무 장소__3순위,expanded,Q7[R3],집중해서 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q15_TEXT,집중 업무 시 선호하는 업무 장소__기타_텍스트,expanded,Q7[TEXT],집중해서 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q16,창의 업무 시 선호하는 업무 장소,raw,Q8,창의적으로 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q16_R1,창의 업무 시 선호하는 업무 장소__1순위,expanded,Q8[R1],창의적으로 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q16_R2,창의 업무 시 선호하는 업무 장소__2순위,expanded,Q8[R2],창의적으로 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q16_R3,창의 업무 시 선호하는 업무 장소__3순위,expanded,Q8[R3],창의적으로 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q16_TEXT,창의 업무 시 선호하는 업무 장소__기타_텍스트,expanded,Q8[TEXT],창의적으로 일해야 할 때 선호하는 곳을 우선순위대로 최대3개 선택해 주세요.
Q17,오피스가 다른 장소보다 더 나은 점,raw,BQ9,‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_R1,오피스가 다른 장소보다 더 나은 점__1순위,expanded,BQ9[R1],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_R2,오피스가 다른 장소보다 더 나은 점__2순위,expanded,BQ9[R2],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_R3,오피스가 다른 장소보다 더 나은 점__3순위,expanded,BQ9[R3],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_R4,오피스가 다른 장소보다 더 나은 점__4순위,expanded,BQ9[R4],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_R5,오피스가 다른 장소보다 더 나은 점__5순위,expanded,BQ9[R5],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q17_TEXT,오피스가 다른 장소보다 더 나은 점__기타_텍스트,expanded,BQ9[TEXT],‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해 주세요.
Q18,오피스 외 장소에서 일하고 싶은 이유,raw,BQ10,"오피스가 아닌 '다른 근무 장소*'들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해 주세요. * (원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등."
Q18_R1,오피스 외 장소에서 일하고 싶은 이유__1순위,expanded,BQ10[R1],"오피스가 아닌 '다른 근무 장소*'들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해 주세요. * (원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등."
Q18_R2,오피스 외 장소에서 일하고 싶은 이유__2순위,expanded,BQ10[R2],"오피스가 아닌 '다른 근무 장소*'들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해 주세요. * (원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등."
Q18_R3,오피스 외 장소에서 일하고 싶은 이유__3순위,expanded,BQ10[R3],"오피스가 아닌 '다른 근무 장소*'들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해 주세요. * (원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등."
Q18_TEXT,오피스 외 장소에서 일하고 싶은 이유__기타_텍스트,expanded,BQ10[TEXT],"오피스가 아닌 '다른 근무 장소*'들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해 주세요. * (원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등."
Q19,선호하는 근무 방식,raw,Q12,다음 중 가장 선호하는 근무 방식을 선택해 주세요.
Q20,선호하는 업무 분위기,raw,Q13,귀하가 선호하는 업무 분위기는 다음 중 어디에 가까운가요? 조직적이고체계적인분위기에서일하는 것을선호한다 수평적이고유연한분위기에서일하는 것을선호한다
Q21,업무 특성 (독립/협업),raw,Q14,귀하의 업무 특성은 다음 중 어디에 가까운가요? 독립 내 일은 혼자 하는 업무가 많은 편이다. 협업 내 일은 다른 구성원들과의 소통과 협업이 많은 편이다.
Q22,업무 특성 (정형/창의),raw,Q15,귀하의 업무 특성은 다음 중 어디에 가까운가요? 정형 내 일은 상호 합의된 프로세스와 시스템 안에서 진행하는 것이 중요하다. 창의 내 일은 새로운 시도를 통한 창의적인 결과물 도출이 중요하다.
Q23,리더 유형(관계지향/성과지향),raw,Q16,현재 귀하의 직속 리더는 다음 중 어떤 유형에 가까운가요? 관계지향형 구성원간 사회적 관계가 업무에 주는 영향력을 중시하는 리더 성과지향형 과업 목적 달성을 통한 성과 창출을 업무에서 가장 우선시하는 리더
Q24,리더 유형(관리형/위임형),raw,Q17,현재 귀하의 직속 리더는 다음 중 어떤 유형에 가까운가요? 관리형 리더 실무진의 업무를 꼼꼼하게 관리하는 리더 위임형 리더 실무진에게 의사결정 과정을 위임하는 리더
Q25,회의 유형,raw,Q18,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_R1,회의 유형__1순위,expanded,Q18[R1],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_R2,회의 유형__2순위,expanded,Q18[R2],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_R3,회의 유형__3순위,expanded,Q18[R3],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_R4,회의 유형__4순위,expanded,Q18[R4],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_R5,회의 유형__5순위,expanded,Q18[R5],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q25_TEXT,회의 유형__기타_텍스트,expanded,Q18[TEXT],보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.
Q26,회의 진행 시간,raw,Q19,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.
Q26_R1,회의 진행 시간__1순위,expanded,Q19[R1],보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.
Q26_R2,회의 진행 시간__2순위,expanded,Q19[R2],보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.
Q26_R3,회의 진행 시간__3순위,expanded,Q19[R3],보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.
Q26_R4,회의 진행 시간__4순위,expanded,Q19[R4],보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.
Q27,회의 규모,raw,Q20,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.
Q27_R1,회의 규모__1순위,expanded,Q20[R1],보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.
Q27_R2,회의 규모__2순위,expanded,Q20[R2],보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.
Q27_R3,회의 규모__3순위,expanded,Q20[R3],보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.
Q27_R4,회의 규모__4순위,expanded,Q20[R4],보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.
Q28,개인 업무 좌석 외에 다른 곳에서 일할 수 있는 분위기인가,raw,Q21,"귀하의 조직은 근무 시간 중 개인 업무 좌석을 벗어나 다른 오피스 공간을 사용할 수 있는 분위기/문화가 조성되어 있나요? (회의, 외근 등 계획된 일정으로 자리를 비우는 것은 제외)"
Q29,개인 업무 좌석 외에 일할 수 있는 공간이 있는가,raw,Q22,"귀하의 오피스에는 근무 시간 중 개인 업무 좌석 이외에 일할 수 있는 공간*이 별도로 마련되어 있나요? * 집중업무좌석, 핫데스크, 워크라운지 등"
Q30,개인 업무 좌석 외 별도 업무 공간 이용 횟수,raw,Q23,"하루 평균 몇 회 개인 업무 좌석 이외의 별도로 일할 수 있는 공간*을 이용 하시나요? * 집중업무좌석, 핫데스크, 워크라운지 등"
Q31,하루 평균 업무 몰입도,raw,Q24,하루 평균 몇 %정도 몰입*해서 일한다고 느끼시나요? * 업무 몰입은 업무 진행 결과 성과에 대한 충분한 만족과 성취감을 주는 모든 업무 방식을 의미합니다.
Q32,업무 만족도,raw,Q25,귀하께서는 현재 본인의 업무에 대해 얼마나 만족하시나요?
Q33,호칭 체계,raw,BQ27,현재 어떤 호칭 체계를 사용하고 있나요?
Q33_TEXT,호칭 체계__기타_텍스트,expanded,BQ27[TEXT],현재 어떤 호칭 체계를 사용하고 있나요?
Q34,수평적 호칭 체계의 긍정적 영향,raw,Q28,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q34_R1,수평적 호칭 체계의 긍정적 영향__1순위,expanded,Q28[R1],"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q34_R2,수평적 호칭 체계의 긍정적 영향__2순위,expanded,Q28[R2],"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q34_R3,수평적 호칭 체계의 긍정적 영향__3순위,expanded,Q28[R3],"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q34_R4,수평적 호칭 체계의 긍정적 영향__4순위,expanded,Q28[R4],"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q34_R5,수평적 호칭 체계의 긍정적 영향__5순위,expanded,Q28[R5],"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 선택해 주세요. * ~님, ~프로, 영어 이름"
Q35,회사가 조직문화 내재화를 위해 노력하고 있는가,raw,Q29,귀하의 기업은 구성원들이 조직문화와 핵심가치를 인지하고 내재화 할 수 있게 노력하고 있나요?
Q36,조직 문화 내재화를 위해 시행되고 있는 방법,raw,Q30,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M1,조직 문화 내재화를 위해 시행되고 있는 방법__보기 중 해당 사항 없음,expanded,Q30[M1],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M2,"조직 문화 내재화를 위해 시행되고 있는 방법__이메일, 메신저, 사내 게시판(온/오프라인) 활용",expanded,Q30[M2],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M3,"조직 문화 내재화를 위해 시행되고 있는 방법__캠페인, 이벤트 (온/오프라인)",expanded,Q30[M3],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M4,"조직 문화 내재화를 위해 시행되고 있는 방법__내부 교육, 워크샵 (온/오프라인)",expanded,Q30[M4],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M5,조직 문화 내재화를 위해 시행되고 있는 방법__조직 문화&가치관 문서화 자료 배포,expanded,Q30[M5],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M6,조직 문화 내재화를 위해 시행되고 있는 방법__관리자급 구성원 통한 전파,expanded,Q30[M6],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M7,"조직 문화 내재화를 위해 시행되고 있는 방법__조직문화 인플루언서, 컬처 에이전트(CA) 운영",expanded,Q30[M7],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M8,"조직 문화 내재화를 위해 시행되고 있는 방법__상징적 요소 활용 (로고, 슬로건)",expanded,Q30[M8],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M9,"조직 문화 내재화를 위해 시행되고 있는 방법__물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)",expanded,Q30[M9],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M10,조직 문화 내재화를 위해 시행되고 있는 방법__기타 (직접 입력),expanded,Q30[M10],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q36_M10_TEXT,조직 문화 내재화를 위해 시행되고 있는 방법__기타_텍스트,expanded,Q30[M10],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해 주세요.
Q37,조직 문화 내재화에 효과적이라고 생각하는 방법,raw,Q31,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M1,"조직 문화 내재화에 효과적이라고 생각하는 방법__이메일, 메신저, 사내 게시판(온/오프라인) 활용",expanded,Q31[M1],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M2,"조직 문화 내재화에 효과적이라고 생각하는 방법__캠페인, 이벤트 (온/오프라인)",expanded,Q31[M2],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M3,"조직 문화 내재화에 효과적이라고 생각하는 방법__내부 교육, 워크샵 (온/오프라인)",expanded,Q31[M3],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M4,조직 문화 내재화에 효과적이라고 생각하는 방법__조직 문화&가치관 문서화 자료 배포,expanded,Q31[M4],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M5,조직 문화 내재화에 효과적이라고 생각하는 방법__관리자급 구성원 통한 전파,expanded,Q31[M5],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M6,"조직 문화 내재화에 효과적이라고 생각하는 방법__조직문화 인플루언서, 컬처 에이전트(CA) 운영",expanded,Q31[M6],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M7,"조직 문화 내재화에 효과적이라고 생각하는 방법__상징적 요소 활용 (로고, 슬로건)",expanded,Q31[M7],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M8,"조직 문화 내재화에 효과적이라고 생각하는 방법__물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)",expanded,Q31[M8],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M9,조직 문화 내재화에 효과적이라고 생각하는 방법__기타 (직접 입력),expanded,Q31[M9],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q37_M9_TEXT,조직 문화 내재화에 효과적이라고 생각하는 방법__기타_텍스트,expanded,Q31[M9],구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 최대 3개 선택해 주세요.
Q38,자기 계발 지원 여부,raw,Q32,귀하의 기업은 구성원 개인의 업무 능력 증진 또는 자기개발*을 위한 지원을 하고 있나요? * 직무 관련 교육 수강 / 자격증 준비 지원 / 외국어 활용 능력 증진 교육 등.
Q39,심리적 안정감 중시 여부,raw,Q33,귀하의 기업은 조직문화적으로 구성원들의 심리적 안정감*을 중요하게 생각하고 있나요? * 심리적 안정감이란? 직장에서 소통시 구성원간 상호 신뢰와 존중을 기반으로 비난의 걱정 없이 서로 의견을 주고 받을 수 있다는 공동의 믿음을 의미합니다.
Q40,개인별 다양성 중시 여부,raw,Q34,"귀하의 기업은 조직문화적으로 구성원 개인의 다양성*을 중요하게 생각하고 있나요? * 연령, 성별, 국적, 장애의 유무, 성격, 성향, 생활 방식, 가치관, 세계관 등."
Q41,구성원 존중 여부,raw,Q35,귀하의 기업은 구성원들을 소중히 여기고 있다고 느끼시나요?
Q42,문화적 환경 만족도,raw,Q36,우리 회사의 일하는 방식과 제도 및 조직 문화에 얼만큼 만족하시나요?
Q43,보고 및 결재 방식,raw,Q38,다음 중 가장 많이 하는 보고 및 결재 방식을 선택해 주세요.
Q43_TEXT,보고 및 결재 방식__기타_텍스트,expanded,Q38[TEXT],다음 중 가장 많이 하는 보고 및 결재 방식을 선택해 주세요.
Q44,자주 활용하는 보고 자료 유형,raw,Q39,다음 중 가장 자주 활용하는 업무 보고 자료 유형을 선택해 주세요.
Q44_TEXT,자주 활용하는 보고 자료 유형__기타_텍스트,expanded,Q39[TEXT],다음 중 가장 자주 활용하는 업무 보고 자료 유형을 선택해 주세요.
Q45,현재 갖춰져 있는 스마트워크 환경 요소,raw,Q40,귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M1,"현재 갖춰져 있는 스마트워크 환경 요소__자리 예약 시스템 (전자 명패, 예약 키오스크)",expanded,Q40[M1],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M2,"현재 갖춰져 있는 스마트워크 환경 요소__회의 예약 시스템 (회의 예약, 알람, 예약 현황 패드)",expanded,Q40[M2],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M3,현재 갖춰져 있는 스마트워크 환경 요소__도킹 시스템 (무선 기반으로 손쉬운 랩탑 사용 지원),expanded,Q40[M3],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M4,현재 갖춰져 있는 스마트워크 환경 요소__기업 모바일 전화 App (유선전화 대체),expanded,Q40[M4],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
Q45_M5,"현재 갖춰져 있는 스마트워크 환경 요소__화상 회의 시스템 (화상 컨퍼런스 캠, 카메라, 마이크)",expanded,Q40[M5],귀하의 회사에 ‘스마트워크*’를 위한 환경으로 갖춰져 있는 항목을 모두 선택해 주세요. * 스마트워크는 시간과 장소에 구애받지 않고 언제 어디서나 일하는 것을 의미합니다.
